volume	page	sk.	adhy.	from v.	to v.	ipage
I	96	(I)	16	22	28	43b
I	97	(I)	16	29	35	44a
I	98	(I)	16	36	36	44b
I	98	(I)	17	1	9	44b
I	99	(I)	17	10	18	45a
I	100	(I)	17	19	28	45b
I	101	(I)	17	29	37	46a
I	102	(I)	17	38	44	46b
I	102	(I)	18	1	4	46b
I	103	(I)	18	5	13	47a
I	104	(I)	18	14	19	47b
I	105	(I)	18	20	27	48a
I	106	(I)	18	28	40	48b
I	107	(I)	18	41	49	49a
I	108	(I)	18	50	50	49b
I	108	(I)	19	1	6	49b
I	109	(I)	19	7	14	50a
I	110	(I)	19	15	24	50b
I	111	(I)	19	25	31	51a
I	112	(I)	19	32	40	51b
I	117	(II)	1	1	7	1a
I	118	(II)	1	8	16	1b
I	119	(II)	1	17	24	2a
I	120	(II)	1	25	32	2b
I	121	(II)	1	33	38	3a
I	122	(II)	1	39	39	3b
I	122	(II)	2	1	3	3b
I	123	(II)	2	4	8	4a
I	124	(II)	2	9	15	4b
I	125	(II)	2	16	21	5a
I	126	(II)	2	22	26	5b
I	127	(II)	2	27	30	6a
I	128	(II)	2	31	36	6b
I	129	(II)	2	37	37	7a
I	129	(II)	3	1	8	7a
I	130	(II)	3	9	17	7b
I	131	(II)	3	18	25	8a
I	132	(II)	4	1	11	8b
I	133	(II)	4	12	17	9a
I	134	(II)	4	18	23	9b
I	135	(II)	4	24	25	10a
I	135	(II)	5	1	5	10a
I	136	(II)	5	6	13	10b
I	137	(II)	5	14	22	11a
I	138	(II)	5	23	29	11b
I	139	(II)	5	30	38	12a
I	140	(II)	5	39	42	12b
I	140	(II)	6	1	4	12b
I	141	(II)	6	5	14	13a
I	142	(II)	6	15	18	13b
I	143	(II)	6	19	27	14a
I	144	(II)	6	28	34	14b
I	145	(II)	6	35	39	15a
I	146	(II)	6	40	44	15b
I	147	(II)	7	1	5	16a
I	148	(II)	7	6	10	16b
I	149	(II)	7	11	16	17a
I	150	(II)	7	17	21	17b
I	151	(II)	7	22	25	18a
I	152	(II)	7	26	29	18b
I	153	(II)	7	30	35	19a
I	154	(II)	7	36	40	19b
I	155	(II)	7	41	46	20a
I	156	(II)	7	47	48	20b
I	157	(II)	7	49	53	21a
I	157	(II)	8	1	3	21a
I	158	(II)	8	4	10	21b
I	159	(II)	8	11	20	22a
I	160	(II)	8	21	29	22b
I	160	(II)	9	1	1	22b
I	161	(II)	9	2	7	23a
I	162	(II)	9	8	13	23b
I	163	(II)	9	14	21	24a
I	164	(II)	9	22	29	24b
I	165	(II)	9	30	36	25a
I	166	(II)	9	37	45	25b
I	166	(II)	10	1	1	25b
I	167	(II)	10	2	8	26a
I	168	(II)	10	9	15	26b
I	169	(II)	10	16	22	27a
I	170	(II)	10	23	27	27b
I	171	(II)	10	28	34	28a
I	172	(II)	10	35	43	28b
I	173	(II)	10	44	50	29a
I	174	(II)	10	51	51	29b
I	177	(III)	1	1	6	1a
I	178	(III)	1	7	12	1b
I	179	(III)	1	13	18	2a
I	180	(III)	1	19	26	2b
I	181	(III)	1	27	33	3a
I	182	(III)	1	34	39	3b
I	183	(III)	1	40	44	4a
I	184	(III)	1	45	45	4b
I	184	(III)	2	1	7	4b
I	185	(III)	2	8	14	5a
I	186	(III)	2	15	20	5b
I	187	(III)	2	21	25	6a
I	188	(III)	2	26	34	6b
I	188	(III)	3	1	2	6b
I	189	(III)	3	3	9	7a
I	190	(III)	3	10	20	7b
I	191	(III)	3	21	28	8a
I	191	(III)	4	1	4	8a
I	192	(III)	4	5	13	8b
I	193	(III)	4	14	21	7a
I	194	(III)	4	22	32	7b
I	195	(III)	4	33	36	8a
I	195	(III)	5	1	4	8a
I	196	(III)	5	5	11	8b
I	197	(III)	5	12	19	9a
I	198	(III)	5	20	26	9b
I	199	(III)	5	27	34	10a
I	200	(III)	5	35	40	10b
I	201	(III)	5	41	46	11a
I	202	(III)	5	47	50	11b
I	203	(III)	6	1	9	12a
I	204	(III)	6	10	21	12b
I	205	(III)	6	22	32	13a
I	206	(III)	6	33	39	13b
I	206	(III)	7	1	1	13b
I	207	(III)	7	2	7	14a
I	208	(III)	7	8	15	14b
I	209	(III)	7	16	24	15a
I	210	(III)	7	25	36	15b
I	211	(III)	7	37	41	16a
I	211	(III)	8	1	3	16a
I	212	(III)	8	4	10	16b
I	213	(III)	8	11	17	17a
I	214	(III)	8	18	23	17b
I	215	(III)	8	24	28	18a
I	216	(III)	8	29	33	18b
I	217	(III)	9	1	5	19a
I	218	(III)	9	6	11	19b
I	219	(III)	9	12	16	20a
I	220	(III)	9	17	20	20b
I	221	(III)	9	21	27	21a
I	222	(III)	9	28	38	21b
I	223	(III)	9	39	44	22a
I	223	(III)	10	1	4	22a
I	224	(III)	10	5	10	22b
I	225	(III)	10	11	17	23a
I	226	(III)	10	18	25	23b
I	227	(III)	10	26	30	24a
I	227	(III)	11	1	2	24a
I	228	(III)	11	3	9	24b
I	229	(III)	11	10	18	25a
I	230	(III)	11	19	28	25b
I	231	(III)	11	29	39	26a
I	232	(III)	11	40	41	26b
I	232	(III)	12	1	9	26b
I	233	(III)	12	10	25	27a
I	234	(III)	12	26	38	27b
I	235	(III)	12	39	46	28a
I	236	(III)	12	47	55	28b
I	236	(III)	13	1	1	28b
I	237	(III)	13	2	12	29a
I	238	(III)	13	13	24	29b
I	239	(III)	13	25	30	30a
I	240	(III)	13	31	37	30b
I	241	(III)	13	38	43	31a
I	242	(III)	13	44	50	31b
I	242	(III)	14	1	1	31b
I	243	(III)	14	2	11	32a
I	244	(III)	14	12	22	32b
I	245	(III)	14	23	29	33a
I	246	(III)	14	30	40	33b
I	247	(III)	14	41	49	34a
I	248	(III)	14	50	50	34b
I	248	(III)	15	1	7	34b
I	249	(III)	15	8	17	35a
I	250	(III)	15	18	21	35b
I	251	(III)	15	22	25	36a
I	252	(III)	15	26	30	36b
I	253	(III)	15	31	34	37a
I	254	(III)	15	35	38	37b
I	255	(III)	15	39	43	38a
I	256	(III)	15	44	47	38b
I	257	(III)	15	48	50	39a
I	257	(III)	16	1	2	39a
I	258	(III)	16	3	8	39b
I	259	(III)	16	9	13	40a
I	260	(III)	16	14	20	40b
I	261	(III)	16	21	23	41a
I	262	(III)	16	24	29	41b
I	263	(III)	16	30	36	42a
I	263	(III)	17	1	3	42a
I	264	(III)	17	4	15	42b
I	265	(III)	17	16	25	43a
I	266	(III)	17	26	31	43b
I	266	(III)	18	1	2	43b
I	267	(III)	18	3	6	44a
I	268	(III)	18	7	12	44b
I	269	(III)	18	13	22	45a
I	270	(III)	18	23	28	45b
I	270	(III)	19	1	3	45b
I	271	(III)	19	4	14	46a
I	272	(III)	19	15	26	46b
I	273	(III)	19	27	37	47a
I	274	(III)	19	38	38	47b
I	274	(III)	20	1	8	47b
I	275	(III)	20	9	17	48a
I	276	(III)	20	18	25	48b
I	277	(III)	20	26	34	49a
I	278	(III)	20	35	43	49b
I	279	(III)	20	44	52	50a
I	280	(III)	20	53	53	50b
I	280	(III)	21	1	10	50b
I	281	(III)	21	11	16	51a
I	282	(III)	21	17	20	51b
I	283	(III)	21	21	31	52a
I	284	(III)	21	32	42	52b
I	285	(III)	21	43	52	53a
I	286	(III)	21	53	56	53b
I	286	(III)	22	1	6	53b
I	287	(III)	22	7	17	54a
I	288	(III)	22	18	26	54b
I	289	(III)	22	27	35	55a
I	290	(III)	22	36	39	55b
I	290	(III)	23	1	7	55b
I	291	(III)	23	8	12	56a
I	292	(III)	23	13	23	56b
I	293	(III)	23	24	34	57a
I	294	(III)	23	35	44	57b
I	295	(III)	23	45	55	58a
I	296	(III)	23	56	57	58b
I	296	(III)	24	1	9	58b
I	297	(III)	24	10	21	59a
I	298	(III)	24	22	32	59b
I	299	(III)	24	33	39	60a
I	300	(III)	24	40	47	60b
I	300	(III)	25	1	1	60b
I	301	(III)	25	2	11	61a
I	302	(III)	25	12	23	61b
I	303	(III)	25	24	31	62a
I	304	(III)	25	32	37	62b
I	305	(III)	25	38	44	63a
I	305	(III)	26	1	1	63a
I	306	(III)	26	2	7	63b
I	307	(III)	26	8	15	64a
I	308	(III)	26	16	21	64b
I	309	(III)	26	22	30	65a
I	310	(III)	26	31	37	65b
I	311	(III)	26	38	46	66a
I	312	(III)	26	47	55	66b
I	313	(III)	26	56	68	67a
I	314	(III)	26	69	70	67b
I	314	(III)	27	1	7	67b
I	315	(III)	27	8	14	68a
I	316	(III)	27	15	22	68b
I	317	(III)	27	23	30	69a
I	318	(III)	28	1	9	69b
I	319	(III)	28	10	19	70a
I	320	(III)	28	20	25	70b
I	321	(III)	28	26	31	71a
I	322	(III)	28	32	35	71b
I	323	(III)	28	36	40	72a
I	324	(III)	28	41	44	72b
I	324	(III)	29	1	4	72b
I	325	(III)	29	5	13	73a
I	326	(III)	29	14	24	73b
I	327	(III)	29	25	33	74a
I	328	(III)	29	34	44	74b
I	329	(III)	29	45	45	75a
I	329	(III)	30	1	9	75a
I	330	(III)	30	10	22	75b
I	331	(III)	30	23	34	76a
I	332	(III)	31	1	10	76b
I	333	(III)	31	11	15	77a
I	334	(III)	31	16	20	77b
I	335	(III)	31	21	29	78a
I	336	(III)	31	30	40	78b
I	337	(III)	31	41	47	79a
I	338	(III)	32	1	9	79b
I	339	(III)	32	10	18	80a
I	340	(III)	32	19	28	80b
I	341	(III)	32	29	37	81a
I	342	(III)	32	38	43	81b
I	342	(III)	33	1	2	81b
I	343	(III)	33	3	7	82a
I	344	(III)	33	8	18	82b
I	345	(III)	33	19	27	83a
I	346	(III)	33	28	37	83b
I	349	(IV)	1	1	10	1a
I	350	(IV)	1	11	23	1b
I	351	(IV)	1	24	32	2a
I	352	(IV)	1	33	46	2b
I	353	(IV)	1	47	57	3a
I	354	(IV)	1	58	65	3b
I	354	(IV)	2	1	2	3b
I	355	(IV)	2	3	14	4a
I	356	(IV)	2	15	20	4b
I	357	(IV)	2	21	29	5a
I	358	(IV)	2	30	35	5b
I	358	(IV)	3	1	3	5b
I	359	(IV)	3	4	11	6a
I	360	(IV)	3	12	17	6b
I	361	(IV)	3	18	22	7a
I	362	(IV)	3	23	25	7b
I	362	(IV)	4	1	2	7b
I	363	(IV)	4	3	9	8a
I	364	(IV)	4	10	13	8b
I	365	(IV)	4	14	18	9a
I	366	(IV)	4	19	22	9b
I	367	(IV)	4	23	30	10a
I	368	(IV)	4	31	34	10b
I	368	(IV)	5	1	5	10b
I	369	(IV)	5	6	12	11a
I	370	(IV)	5	13	21	11b
I	371	(IV)	5	22	26	12a
I	371	(IV)	6	1	5	12a
I	372	(IV)	6	6	15	12b
I	373	(IV)	6	16	26	13a
I	374	(IV)	6	27	36	13b
I	375	(IV)	6	37	43	14a
I	376	(IV)	6	44	51	14b
I	377	(IV)	6	52	52	15a
I	377	(IV)	7	1	8	15a
I	378	(IV)	7	9	18	15b
I	379	(IV)	7	19	25	16a
I	380	(IV)	7	26	27	16b
I	381	(IV)	7	28	32	17a
I	382	(IV)	7	33	37	17b
I	383	(IV)	7	38	41	18a
I	384	(IV)	7	42	46	18b
I	385	(IV)	7	47	56	19a
I	386	(IV)	7	57	61	19b
I	386	(IV)	8	1	5	19b
I	387	(IV)	8	6	17	20a
I	388	(IV)	8	18	27	20b
I	389	(IV)	8	28	39	21a
I	390	(IV)	8	40	50	21b
I	391	(IV)	8	51	62	22a
I	392	(IV)	8	63	76	22b
I	393	(IV)	8	77	82	23a
I	393	(IV)	9	1	1	23a
I	394	(IV)	9	2	7	23b
I	395	(IV)	9	8	12	24a
I	396	(IV)	9	13	16	24b
I	397	(IV)	9	17	25	25a
I	398	(IV)	8	26	34	25b
I	399	(IV)	8	35	45	26a
I	400	(IV)	9	46	57	26b
I	401	(IV)	9	58	67	27a
I	401	(IV)	10	1	4	27a
I	402	(IV)	10	5	18	27b
I	403	(IV)	10	19	29	28a
I	404	(IV)	10	30	30	28b
I	404	(IV)	11	1	8	28b
I	405	(IV)	11	9	17	29a
I	406	(IV)	11	18	23	29b
I	407	(IV)	11	24	32	30a
I	408	(IV)	11	33	35	30b
I	408	(IV)	12	1	8	30b
I	409	(IV)	12	9	18	31a
I	410	(IV)	12	19	29	31b
I	411	(IV)	12	30	40	32a
I	412	(IV)	12	41	50	32b
I	413	(IV)	12	51	52	33a
I	413	(IV)	13	1	8	33a
I	414	(IV)	13	9	21	33b
I	415	(IV)	13	22	33	34a
I	416	(IV)	13	34	45	34b
I	417	(IV)	13	46	49	35a
I	417	(IV)	14	1	7	35a
I	418	(IV)	14	8	20	35b
I	419	(IV)	14	21	32	36a
I	420	(IV)	14	33	43	36b
I	421	(IV)	14	44	46	37a
I	421	(IV)	15	1	9	37a
I	422	(IV)	15	10	22	37b
I	423	(IV)	15	23	26	38a
I	423	(IV)	16	1	3	38a
I	424	(IV)	16	4	12	38b
I	425	(IV)	16	13	23	39a
I	426	(IV)	16	24	27	39b
I	426	(IV)	17	1	8	39b
I	427	(IV)	17	9	20	40a
I	428	(IV)	17	21	30	40b
I	429	(IV)	18	13	25	42a
I	430	(IV)	18	26	32	42b
I	430	(IV)	19	1	4	42b
I	431	(IV)	19	5	18	43a
I	432	(IV)	19	19	29	43b
I	433	(IV)	19	30	37	44a
I	434	(IV)	19	38	42	44b
I	434	(IV)	20	1	6	44b
I	435	(IV)	20	7	13	45a
I	436	(IV)	20	14	21	45b
I	437	(IV)	20	22	26	46a
I	438	(IV)	20	27	32	46b
I	439	(IV)	20	33	38	47a
I	439	(IV)	21	1	6	47a
I	440	(IV)	21	7	16	47b
I	441	(IV)	21	17	25	48a
I	442	(IV)	21	26	31	48b
I	443	(IV)	21	32	36	49a
I	444	(IV)	21	37	42	49b
I	445	(IV)	21	43	51	50a
I	445	(IV)	22	1	2	50a
I	446	(IV)	22	3	11	50b
I	447	(IV)	22	12	20	51a
I	448	(IV)	22	21	25	51b
I	449	(IV)	22	26	30	52a
I	450	(IV)	22	31	37	52b
I	451	(IV)	22	38	43	53a
I	452	(IV)	22	44	55	53b
I	453	(IV)	22	56	63	54a
I	453	(IV)	23	1	3	54a
I	454	(IV)	23	4	13	54b
I	455	(IV)	23	14	18	55a
I	456	(IV)	23	19	29	55b
I	457	(IV)	23	30	39	56a
I	457	(IV)	24	1	2	56a
I	458	(IV)	24	3	12	56b
I	459	(IV)	24	13	23	57a
I	460	(IV)	24	24	33	57b
I	461	(IV)	24	34	41	58a
I	462	(IV)	24	42	49	58b
I	463	(IV)	24	50	57	59a
I	464	(IV)	24	58	63	59b
I	465	(IV)	24	64	72	60a
I	466	(IV)	24	73	79	60b
I	466	(IV)	25	1	5	60b
I	467	(IV)	25	6	14	61a
I	468	(IV)	25	15	23	61b
I	469	(IV)	25	24	31	62a
I	470	(IV)	25	32	42	62b
I	471	(IV)	25	43	50	63a
I	472	(IV)	25	51	62	63b
I	473	(IV)	26	1	5	64a
I	474	(IV)	26	6	14	64b
I	475	(IV)	26	15	24	65a
I	476	(IV)	26	25	26	65b
I	476	(IV)	27	1	3	65b
I	477	(IV)	27	4	15	66a
I	478	(IV)	27	16	27	66b
I	479	(IV)	27	28	30	67a
I	479	(IV)	28	1	7	67a
I	480	(IV)	28	8	19	67b
I	481	(IV)	28	20	28	68a
I	482	(IV)	28	29	34	68b
I	483	(IV)	28	35	43	69a
I	484	(IV)	28	44	55	69b
I	485	(IV)	28	56	64	70a
I	486	(IV)	28	65	65	70b
I	486	(IV)	29	1	9	70b
I	487	(IV)	29	10	19	71a
I	488	(IV)	29	20	30	71b
I	489	(IV)	29	31	39	72a
I	490	(IV)	29	40	47	72b
I	491	(IV)	29	48	53	73a
I	492	(IV)	29	54	58	73b
I	493	(IV)	29	59	65	74a
I	494	(IV)	29	66	71	74b
I	495	(IV)	29	72	82	75a
I	496	(IV)	29	83	85	75b
I	496	(IV)	30	1	6	75b
I	497	(IV)	30	7	16	76a
I	498	(IV)	30	17	24	76b
I	499	(IV)	30	25	33	77a
I	500	(IV)	30	34	43	77b
I	501	(IV)	30	44	51	78a
I	501	(IV)	31	1	1	78a
I	502	(IV)	31	2	12	78b
I	503	(IV)	31	13	16	79a
I	504	(IV)	31	17	23	79b
I	505	(IV)	31	24	31	80a
I	509	(V)	1	1	4	1a
I	510	(V)	1	5	7	1b
I	511	(V)	1	8	13	2a
I	512	(V)	1	14	18	2b
I	513	(V)	1	19	23	3a
I	514	(V)	1	24	29	3b
I	515	(V)	1	30	35	4a
I	516	(V)	1	36	41	4b
I	517	(V)	2	1	5	5a
I	518	(V)	2	6	9	5b
I	519	(V)	2	10	13	6a
I	520	(V)	2	14	18	6b
I	521	(V)	2	19	23	7a
I	521	(V)	3	1	2	7a
I	522	(V)	3	3	7	7b
I	523	(V)	3	8	13	8a
I	524	(V)	3	14	20	8b
I	525	(V)	3	21	21	9a
I	525	(V)	4	1	4	9a
I	526	(V)	4	5	12	9b
I	527	(V)	4	13	18	10a
I	527	(V)	5	1	1	10a
I	528	(V)	5	2	7	10b
I	529	(V)	5	8	14	11a
I	530	(V)	5	15	19	11b
I	531	(V)	5	20	25	12a
I	532	(V)	5	26	29	12b
I	533	(V)	5	30	31	13a
I	534	(V)	5	32	35	13b
I	535	(V)	6	1	6	14a
I	536	(V)	6	7	12	14b
I	537	(V)	6	13	18	15a
I	538	(V)	6	19	20	15b
I	538	(V)	7	1	4	15b
I	539	(V)	7	5	6	16a
I	540	(V)	7	7	10	16b
I	541	(V)	8	6	12	18a
I	542	(V)	8	13	19	18b
I	543	(V)	8	20	22	19a
I	544	(V)	8	23	27	19b
I	545	(V)	8	28	28	20a
I	545	(V)	9	1	3	20a
I	546	(V)	9	4	7	20b
I	547	(V)	9	8	11	21a
I	548	(V)	9	12	17	21b
I	549	(V)	9	18	20	22a
I	550	(V)	10	1	5	22b
I	551	(V)	10	6	8	23a
I	552	(V)	10	9	13	23b
I	553	(V)	10	14	19	24a
I	554	(V)	10	20	23	24b
I	555	(V)	10	24	25	25a
I	555	(V)	11	1	3	25a
I	556	(V)	11	4	8	25b
I	557	(V)	11	9	12	26a
I	558	(V)	11	13	17	26b
I	558	(V)	12	1	1	26b
I	559	(V)	12	2	7	27a
I	560	(V)	12	8	12	27b
I	561	(V)	12	13	16	28a
I	561	(V)	13	1	2	28a
I	562	(V)	13	3	8	28b
I	563	(V)	13	9	15	29a
I	564	(V)	13	16	21	29b
I	565	(V)	13	22	26	30a
I	566	(V)	14	1	3	30b
I	567	(V)	14	4	9	31a
I	568	(V)	14	10	16	31b
I	569	(V)	14	17	26	32a
I	570	(V)	14	27	29	32b
I	571	(V)	14	30	37	33a
I	572	(V)	14	38	43	33b
I	573	(V)	14	44	45	34a
I	573	(V)	15	1	3	34a
I	574	(V)	15	4	7	34b
I	575	(V)	15	8	14	35a
I	576	(V)	16	1	5	35b
I	577	(V)	16	6	11	36a
I	578	(V)	16	12	17	36b
I	579	(V)	16	18	26	37a
I	580	(V)	16	27	30	37b
I	580	(V)	17	1	1	37b
I	581	(V)	17	2	6	38a
I	582	(V)	17	7	12	38b
I	583	(V)	17	13	16	39a
I	584	(V)	17	17	21	39b
I	585	(V)	17	22	24	40a
I	585	(V)	18	1	1	40a
I	586	(V)	18	2	6	40b
I	587	(V)	18	7	11	41a
I	588	(V)	18	12	15	41b
I	589	(V)	18	16	20	42a
I	590	(V)	18	21	26	42b
I	591	(V)	18	27	32	43a
I	592	(V)	18	33	38	43b
I	593	(V)	18	39	39	44a
I	593	(V)	19	1	4	44a
I	594	(V)	19	5	10	44b
I	595	(V)	19	11	16	45a
I	596	(V)	19	17	21	45b
I	597	(V)	19	22	27	46a
I	598	(V)	19	28	31	46b
I	598	(V)	20	1	3	46b
I	599	(V)	20	4	11	47a
I	600	(V)	20	12	21	47b
I	601	(V)	20	22	29	48a
I	602	(V)	20	30	35	48b
I	603	(V)	20	36	40	49a
I	604	(V)	20	41	46	49b
I	605	(V)	21	1	6	50a
I	606	(V)	21	7	7	50b
I	607	(V)	21	8	12	51a
I	608	(V)	21	13	18	51b
I	609	(V)	21	19	19	52a
I	609	(V)	22	1	4	52a
I	610	(V)	22	5	10	52b
I	611	(V)	22	11	17	53a
I	612	(V)	23	1	5	53b
I	613	(V)	23	6	8	54a
I	614	(V)	24	1	7	54b
I	615	(V)	24	8	10	55a
I	616	(V)	24	11	17	55b
I	617	(V)	24	18	22	56a
I	618	(V)	24	23	27	56b
I	619	(V)	24	28	31	57a
I	620	(V)	25	1	5	57b
I	621	(V)	25	6	10	58a
I	622	(V)	25	11	15	58b
I	622	(V)	26	1	1	58b
I	623	(V)	26	2	7	59a
I	624	(V)	26	8	14	59b
I	625	(V)	26	15	19	60a
I	626	(V)	26	20	27	60b
I	627	(V)	26	28	34	61a
I	628	(V)	26	35	38	61b
I	631	(VI)	1	1	6	1a
I	632	(VI)	1	7	12	1b
I	633	(VI)	1	13	20	2a
I	634	(VI)	1	21	34	2b
I	635	(VI)	1	35	41	3a
I	636	(VI)	1	42	48	3b
I	637	(VI)	1	49	56	4a
I	638	(VI)	1	57	68	4b
I	639	(VI)	2	1	8a	5a
I	640	(VI)	2	8b	12	5b
I	641	(VI)	2	13	17	6a
I	642	(VI)	2	18	28	6b
I	643	(VI)	2	29	41	7a
I	644	(VI)	2	42	49	7b
I	644	(VI)	3	1	1	7b
I	645	(VI)	3	2	9	8a
I	646	(VI)	3	10	16	8b
I	647	(VI)	3	17	24a	9a
I	648	(VI)	3	24b	27	9b
I	649	(VI)	3	28	33	10a
I	650	(VI)	3	34	35	10b
I	650	(VI)	4	1	6	10b
I	651	(VI)	4	7	17	11a
I	652	(VI)	4	18	25	11b
I	653	(VI)	4	26	29	12a
I	654	(VI)	4	30	32	12b
I	655	(VI)	4	33	40	13a
I	656	(VI)	4	41	48	13b
I	657	(VI)	4	49	54	14a
I	657	(VI)	5	1	6	14a
I	658	(VI)	5	7	14	14b
I	659	(VI)	5	15	20	15a
I	660	(VI)	5	21	32	15b
I	661	(VI)	5	33	39	16a
I	662	(VI)	5	40	44	16b
I	662	(VI)	6	1	2	16b
I	663	(VI)	6	3	15	17a
I	664	(VI)	6	16	26	17b
I	665	(VI)	6	27	39	18a
I	666	(VI)	6	40	43	18b
I	666	(VI)	7	1	6	18b
I	667	(VI)	7	7	19	19a
I	668	(VI)	7	20	30	19b
I	669	(VI)	7	31	38	20a
I	670	(VI)	7	39	40	20b
I	670	(VI)	8	1	8	20b
I	671	(VI)	8	9	17	21a
I	672	(VI)	8	18	25	21b
I	673	(VI)	8	26	36	22a
I	674	(VI)	8	37	40	22b
I	674	(VI)	9	1	6	22b
I	675	(VI)	9	7	14	23a
I	676	(VI)	9	15	22	23b
I	677	(VI)	9	23	29	24a
I	678	(VI)	9	30	34	24b
I	679	(VI)	9	35	37	25a
I	680	(VI)	9	38	40	25b
I	681	(VI)	9	41	43	26a
I	682	(VI)	9	44	51	26b
I	683	(VI)	9	52	55	27a
I	684	(VI)	10	1	11	27b
I	685	(VI)	10	12	25	28a
I	686	(VI)	10	26	33	28b
I	687	(VI)	11	1	11	29a
I	688	(VI)	11	12	18	29b
I	689	(VI)	11	19	25	30a
I	690	(VI)	11	26	27	30b
I	690	(VI)	12	1	6	30b
I	691	(VI)	12	7	16	31a
I	692	(VI)	12	17	30	31b
I	693	(VI)	12	31	35	32a
I	693	(VI)	13	1	3	32a
I	694	(VI)	13	4	15	32b
I	695	(VI)	13	16	22	33a
I	696	(VI)	13	23	23	33b
I	696	(VI)	14	1	10	33b
I	697	(VI)	14	11	20	34a
I	698	(VI)	14	21	34	34b
I	699	(VI)	14	35	48	35a
I	700	(VI)	14	49	55	35b
I	701	(VI)	14	56	61	36a
I	701	(VI)	15	1	3	36a
I	702	(VI)	15	4	10	36b
I	703	(VI)	15	11	23	37a
I	704	(VI)	15	24	28	37b
I	704	(VI)	16	1	2	37b
I	705	(VI)	16	3	9	38a
I	706	(VI)	16	10	20	38b
I	707	(VI)	16	21	26	39a
I	708	(VI)	16	27	34	39b
I	709	(VI)	16	35	39	40a
I	710	(VI)	16	40	45	40b
I	711	(VI)	16	46	52	41a
I	712	(VI)	16	53	59	41b
I	713	(VI)	16	60	65	42a
I	713	(VI)	17	1	5	42a
I	714	(VI)	17	6	17	42b
I	715	(VI)	17	18	27	43a
I	716	(VI)	17	28	39	43b
I	717	(VI)	17	40	41	44a
I	717	(VI)	18	1	6	44a
I	718	(VI)	18	7	20	44b
